TotalRevenue,TotalOrders,FirstPurchase,LastPurchase,RetentionPeriodDays,AverageOrderValue,RevenueSegment,RegionSegment,RetentionPeriodYears,PurchaseFrequency,CLTV
3148.31,177,2009-12-06 10:30:00,2010-10-25 14:27:00,323,17.787062146892655,VIP,Belgium,0.8849315068493151,200.01547987616098,3149.0
1352.62,68,2010-03-19 14:47:00,2010-10-22 10:29:00,216,19.891470588235293,VIP,Switzerland,0.5917808219178082,114.9074074074074,1353.0
503.01,25,2010-10-22 10:40:00,2010-11-19 10:04:00,27,20.1204,High,Spain,0.07397260273972603,337.96296296296293,504.0
291.56,20,2010-07-22 13:57:00,2010-10-20 14:28:00,90,14.578,Medium,Spain,0.2465753424657534,81.11111111111111,292.0
4428.24,133,2009-12-18 12:44:00,2010-11-10 13:19:00,327,33.29503759398496,VIP,Australia,0.8958904109589041,148.45565749235473,4429.0
763.08,40,2010-08-31 09:31:00,2010-11-17 11:33:00,78,19.077,High,Denmark,0.2136986301369863,187.17948717948718,764.0
1579.07,62,2010-06-09 15:15:00,2010-10-13 10:29:00,125,25.468870967741935,VIP,Australia,0.3424657534246575,181.04000000000002,1580.0
964.21,55,2010-09-17 14:10:00,2010-09-17 14:10:00,0,17.53109090909091,High,Portugal,0.0,0.0,0.0
762.48,47,2010-02-15 08:41:00,2010-02-15 08:41:00,0,16.222978723404257,High,Germany,0.0,0.0,0.0
303.5,10,2010-12-03 10:44:00,2010-12-03 10:44:00,0,30.35,Medium,Germany,0.0,0.0,0.0
3735.51,76,2010-06-11 13:28:00,2010-12-09 12:05:00,180,49.15144736842105,VIP,Denmark,0.4931506849315068,154.11111111111111,3736.0
4370.52,170,2010-01-15 09:04:00,2010-12-01 10:03:00,320,25.708941176470592,VIP,Belgium,0.8767123287671232,193.90625,4371.0
7205.39,286,2010-08-20 09:23:00,2010-12-08 16:49:00,110,25.19367132867133,VIP,Norway,0.3013698630136986,949.0,7206.0
297.29,20,2010-11-23 13:38:00,2010-11-23 13:38:00,0,14.864500000000001,Medium,Australia,0.0,0.0,0.0
6096.04,76,2009-12-02 13:58:00,2010-11-08 10:07:00,340,80.21105263157895,VIP,Denmark,0.9315068493150684,81.58823529411765,6097.0
7731.99,364,2009-12-02 16:24:00,2010-11-09 14:46:00,341,21.24173076923077,VIP,France,0.9342465753424658,389.61876832844575,7732.0
1142.88,71,2009-12-14 08:40:00,2010-01-26 12:11:00,43,16.096901408450705,VIP,Cyprus,0.1178082191780822,602.6744186046511,1143.0
859.2,32,2009-12-22 12:03:00,2010-09-03 13:11:00,255,26.85,High,Austria,0.6986301369863014,45.80392156862745,860.0
173.55,11,2010-12-08 10:45:00,2010-12-08 10:45:00,0,15.77727272727273,Medium,France,0.0,0.0,0.0
485.31,21,2009-12-07 15:42:00,2009-12-07 15:42:00,0,23.11,Medium,Norway,0.0,0.0,0.0
301.58000000000004,20,2010-10-15 12:28:00,2010-10-15 12:28:00,0,15.079000000000002,Medium,Spain,0.0,0.0,0.0
768.6,10,2010-09-27 09:37:00,2010-10-25 12:21:00,28,76.86,High,Denmark,0.07671232876712329,130.35714285714286,769.0
490.32,29,2010-08-22 13:11:00,2010-11-05 16:27:00,75,16.90758620689655,Medium,Spain,0.2054794520547945,141.13333333333335,491.0
3634.36,157,2010-06-28 12:58:00,2010-09-02 15:38:00,66,23.148789808917197,VIP,Switzerland,0.18082191780821918,868.2575757575758,3635.0
13151.44,25,2010-10-14 17:33:00,2010-11-09 10:09:00,25,526.0576,VIP,Spain,0.0684931506849315,365.0,13152.0
3413.09,137,2009-12-18 12:33:00,2010-09-20 14:39:00,276,24.913065693430656,VIP,Cyprus,0.7561643835616438,181.17753623188406,3414.0
632.68,22,2010-09-30 17:59:00,2010-09-30 17:59:00,0,28.758181818181814,High,Switzerland,0.0,0.0,0.0
830.09,46,2010-08-09 10:33:00,2010-10-08 11:36:00,60,18.045434782608698,High,Switzerland,0.1643835616438356,279.83333333333337,831.0
454.36,23,2010-04-13 14:53:00,2010-04-13 14:53:00,0,19.754782608695653,Medium,Spain,0.0,0.0,0.0
326.65,18,2010-09-09 13:51:00,2010-09-09 13:51:00,0,18.147222222222222,Medium,Belgium,0.0,0.0,0.0
56.73,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0,56.73,Low,France,0.0,0.0,0.0
132.8,9,2010-10-12 15:41:00,2010-10-12 15:41:00,0,14.755555555555556,Medium,USA,0.0,0.0,0.0
2941.2,112,2010-01-26 10:09:00,2010-07-01 10:28:00,156,26.260714285714283,VIP,Germany,0.4273972602739726,262.05128205128204,2942.0
3070.54,76,2010-06-21 10:30:00,2010-07-05 12:40:00,14,40.40184210526316,VIP,Thailand,0.038356164383561646,1981.4285714285713,3071.0
211.95,23,2010-01-19 11:01:00,2010-01-19 11:01:00,0,9.215217391304348,Medium,Unspecified,0.0,0.0,0.0
20129.54,676,2009-12-07 10:41:00,2010-11-30 14:35:00,358,29.77742603550296,VIP,Germany,0.9808219178082191,689.2178770949721,20130.0
11308.48,572,2009-12-14 10:49:00,2010-12-05 14:19:00,356,19.77006993006993,VIP,Germany,0.9753424657534246,586.4606741573034,11309.0
5048.66,286,2010-02-11 09:41:00,2010-11-26 12:19:00,288,17.652657342657342,VIP,Germany,0.7890410958904109,362.46527777777777,5049.0
426.26,25,2010-10-26 08:49:00,2010-10-26 08:49:00,0,17.0504,Medium,Germany,0.0,0.0,0.0
7267.49,281,2010-07-26 09:04:00,2010-11-08 09:35:00,105,25.862953736654802,VIP,Germany,0.2876712328767123,976.8095238095239,7268.0
7056.63,264,2010-03-26 14:01:00,2010-11-05 09:35:00,223,26.72965909090909,VIP,Germany,0.6109589041095891,432.1076233183856,7057.0
2183.2200000000003,88,2010-07-20 13:21:00,2010-11-05 15:08:00,108,24.809318181818185,VIP,Germany,0.2958904109589041,297.4074074074074,2184.0
6765.07,174,2010-04-11 13:10:00,2010-12-09 10:13:00,241,38.87971264367816,VIP,Germany,0.6602739726027397,263.52697095435684,6766.0
23691.4,204,2010-02-24 10:24:00,2010-05-12 16:51:00,77,116.1343137254902,VIP,Sweden,0.21095890410958903,967.0129870129871,23692.0
2612.2000000000003,63,2010-01-31 13:28:00,2010-11-26 12:35:00,298,41.46349206349207,VIP,Sweden,0.8164383561643835,77.16442953020135,2613.0
1826.78,128,2010-01-27 16:41:00,2010-08-13 13:45:00,197,14.27171875,VIP,Spain,0.5397260273972603,237.15736040609136,1827.0
708.1,34,2010-06-28 15:22:00,2010-06-28 15:22:00,0,20.826470588235296,High,Sweden,0.0,0.0,0.0
1037.28,49,2010-10-04 12:14:00,2010-10-04 12:14:00,0,21.168979591836734,VIP,Sweden,0.0,0.0,0.0
285.29999999999995,2,2009-12-09 11:36:00,2009-12-09 11:36:00,0,142.64999999999998,Medium,Sweden,0.0,0.0,0.0
4405.71,217,2009-12-01 12:52:00,2010-11-26 14:16:00,360,20.302811059907835,VIP,France,0.9863013698630136,220.0138888888889,4406.0
452.0,22,2010-11-01 14:58:00,2010-11-01 14:58:00,0,20.545454545454547,Medium,Germany,0.0,0.0,0.0
626.77,34,2010-05-12 13:52:00,2010-12-09 11:31:00,210,18.43441176470588,High,France,0.5753424657534246,59.0952380952381,627.0
357.4,17,2010-03-09 10:53:00,2010-03-09 10:53:00,0,21.023529411764706,Medium,Sweden,0.0,0.0,0.0
45.34,10,2010-03-29 13:57:00,2010-03-29 14:06:00,0,4.534000000000001,Low,Spain,0.0,0.0,0.0
5205.400000000001,43,2010-03-05 09:39:00,2010-11-04 12:31:00,244,121.05581395348838,VIP,Germany,0.6684931506849315,64.32377049180327,5206.0
393.72,27,2010-05-28 15:12:00,2010-05-28 15:12:00,0,14.582222222222223,Medium,Germany,0.0,0.0,0.0
1697.39,85,2010-02-04 15:05:00,2010-09-30 18:45:00,238,19.96929411764706,VIP,Germany,0.6520547945205479,130.35714285714286,1698.0
1126.0,2,2010-05-04 13:59:00,2010-05-04 13:59:00,0,563.0,VIP,Spain,0.0,0.0,0.0
297.0,11,2010-04-22 10:24:00,2010-10-18 15:09:00,179,27.0,Medium,Germany,0.4904109589041096,22.430167597765365,297.0
955.2,42,2010-10-27 09:18:00,2010-10-27 09:18:00,0,22.742857142857144,High,Italy,0.0,0.0,0.0
539.25,28,2010-05-04 09:23:00,2010-05-04 09:23:00,0,19.258928571428573,High,Spain,0.0,0.0,0.0
4195.45,112,2009-12-04 13:47:00,2010-09-06 14:27:00,276,37.459375,VIP,Spain,0.7561643835616438,148.1159420289855,4196.0
3084.02,190,2010-10-07 10:39:00,2010-10-07 10:39:00,0,16.231684210526314,VIP,Greece,0.0,0.0,0.0
580.08,33,2010-03-08 12:18:00,2010-03-08 12:18:00,0,17.578181818181818,High,Italy,0.0,0.0,0.0
1336.56,48,2010-04-19 14:14:00,2010-10-05 09:43:00,168,27.845,VIP,Germany,0.4602739726027397,104.28571428571429,1337.0
385.7,22,2010-08-20 08:21:00,2010-08-20 08:21:00,0,17.53181818181818,Medium,Germany,0.0,0.0,0.0
2562.58,143,2009-12-07 13:46:00,2010-11-30 12:31:00,357,17.92013986013986,VIP,France,0.9780821917808219,146.2044817927171,2563.0
6640.39,96,2010-02-08 14:41:00,2010-11-16 09:08:00,280,69.17072916666667,VIP,Germany,0.7671232876712328,125.14285714285715,6641.0
973.73,60,2010-03-02 14:01:00,2010-07-29 16:08:00,149,16.228833333333334,High,France,0.40821917808219177,146.9798657718121,974.0
386.8,14,2010-06-28 15:37:00,2010-08-02 12:23:00,34,27.62857142857143,Medium,Germany,0.09315068493150686,150.2941176470588,387.0
316.48,21,2010-06-29 13:10:00,2010-06-29 13:10:00,0,15.07047619047619,Medium,France,0.0,0.0,0.0
2096.98,92,2010-03-07 14:37:00,2010-10-20 15:15:00,227,22.793260869565216,VIP,Germany,0.6219178082191781,147.9295154185022,2097.0
1807.98,110,2010-01-22 14:17:00,2010-01-22 14:17:00,0,16.43618181818182,VIP,Germany,0.0,0.0,0.0
1367.89,72,2009-12-01 11:50:00,2010-03-22 10:56:00,110,18.998472222222222,VIP,Germany,0.3013698630136986,238.90909090909093,1368.0
732.94,43,2010-10-27 08:36:00,2010-10-27 08:36:00,0,17.04511627906977,High,Sweden,0.0,0.0,0.0
276.5,13,2010-11-26 13:02:00,2010-11-26 13:02:00,0,21.26923076923077,Medium,Spain,0.0,0.0,0.0
5646.400000000001,231,2009-12-23 13:00:00,2010-09-15 09:50:00,265,24.443290043290045,VIP,Spain,0.726027397260274,318.1698113207547,5647.0
8854.25,293,2009-12-07 16:56:00,2010-11-26 10:43:00,353,30.21928327645051,VIP,Spain,0.9671232876712329,302.9603399433428,8855.0
481.88,39,2010-03-09 16:26:00,2010-08-12 19:12:00,156,12.355897435897436,Medium,Spain,0.4273972602739726,91.25,482.0
980.25,43,2010-09-17 15:51:00,2010-09-17 15:51:00,0,22.796511627906977,High,Spain,0.0,0.0,0.0
175.78,13,2010-07-27 13:55:00,2010-07-27 13:55:00,0,13.521538461538462,Medium,Spain,0.0,0.0,0.0
1575.68,49,2010-01-11 12:29:00,2010-05-13 12:05:00,121,32.15673469387755,VIP,USA,0.3315068493150685,147.80991735537188,1576.0
916.47,47,2010-10-12 13:35:00,2010-11-19 12:18:00,37,19.49936170212766,High,France,0.10136986301369863,463.64864864864865,917.0
468.5,26,2010-09-17 12:29:00,2010-09-17 12:29:00,0,18.01923076923077,Medium,Spain,0.0,0.0,0.0
129.23,1,2010-01-26 16:26:00,2010-01-26 16:26:00,0,129.23,Medium,Spain,0.0,0.0,0.0
6725.18,25,2009-12-17 10:39:00,2010-12-03 12:20:00,351,269.0072,VIP,Spain,0.9616438356164384,25.997150997150996,6726.0
1185.18,39,2010-09-30 13:13:00,2010-11-19 09:35:00,49,30.38923076923077,VIP,France,0.13424657534246576,290.51020408163265,1186.0
249.24,13,2010-10-27 09:52:00,2010-10-27 09:52:00,0,19.172307692307694,Medium,Italy,0.0,0.0,0.0
4308.58,193,2010-02-11 10:30:00,2010-12-07 10:36:00,299,22.324248704663212,VIP,France,0.8191780821917808,235.60200668896323,4309.0
70.0,5,2010-03-05 09:15:00,2010-03-05 09:15:00,0,14.0,Low,Germany,0.0,0.0,0.0
77.52,1,2010-01-26 17:28:00,2010-01-26 17:28:00,0,77.52,Low,Spain,0.0,0.0,0.0
556.87,91,2010-08-31 17:25:00,2010-11-23 13:01:00,83,6.11945054945055,High,France,0.2273972602739726,400.18072289156623,557.0
622.8199999999999,38,2010-07-01 09:15:00,2010-09-08 13:09:00,69,16.389999999999997,High,France,0.18904109589041096,201.0144927536232,623.0
826.89,54,2010-07-01 13:46:00,2010-11-12 12:44:00,133,15.312777777777777,High,Poland,0.3643835616438356,148.1954887218045,827.0
990.5,152,2009-12-03 19:31:00,2010-11-23 14:06:00,354,6.516447368421052,High,France,0.9698630136986301,156.72316384180792,991.0
1847.94,58,2010-09-22 11:19:00,2010-11-19 17:21:00,58,31.861034482758622,VIP,Italy,0.1589041095890411,364.99999999999994,1848.0
637.2,34,2010-05-12 11:45:00,2010-05-12 11:45:00,0,18.741176470588236,High,Germany,0.0,0.0,0.0
1469.04,81,2010-05-11 09:55:00,2010-10-13 10:52:00,155,18.136296296296297,VIP,Finland,0.4246575342465753,190.74193548387098,1470.0
7166.0599999999995,219,2009-12-06 11:57:00,2010-12-01 08:45:00,359,32.72173515981735,VIP,France,0.9835616438356164,222.66016713091923,7167.0
1865.73,83,2009-12-16 13:15:00,2010-11-30 10:47:00,348,22.47867469879518,VIP,Italy,0.9534246575342465,87.05459770114943,1866.0
743.88,36,2010-04-21 12:22:00,2010-11-05 12:53:00,198,20.663333333333334,High,Finland,0.5424657534246575,66.36363636363636,744.0
4048.98,145,2010-01-19 12:26:00,2010-10-14 11:54:00,267,27.924,VIP,France,0.7315068493150685,198.22097378277155,4049.0
886.1,42,2010-10-27 10:42:00,2010-11-14 14:32:00,18,21.097619047619048,High,Italy,0.049315068493150684,851.6666666666667,887.0
2145.06,63,2010-07-08 14:06:00,2010-07-08 14:26:00,0,34.04857142857143,VIP,Germany,0.0,0.0,0.0
1751.89,81,2010-03-03 13:51:00,2010-11-26 12:17:00,267,21.628271604938273,VIP,Italy,0.7315068493150685,110.73033707865169,1752.0
299.02,19,2010-07-23 09:10:00,2010-07-23 09:10:00,0,15.737894736842104,Medium,Germany,0.0,0.0,0.0
1511.01,74,2010-03-01 09:58:00,2010-09-02 14:22:00,185,20.419054054054055,VIP,France,0.5068493150684932,146.0,1512.0
1264.14,71,2010-05-11 10:42:00,2010-11-23 15:49:00,196,17.804788732394368,VIP,France,0.536986301369863,132.21938775510205,1265.0
2444.88,68,2009-12-07 13:37:00,2010-12-03 12:57:00,360,35.95411764705882,VIP,Germany,0.9863013698630136,68.94444444444444,2445.0
104.19999999999999,6,2010-10-31 10:57:00,2010-10-31 10:57:00,0,17.366666666666664,Medium,Germany,0.0,0.0,0.0
1232.95,76,2010-09-07 14:21:00,2010-11-28 14:18:00,81,16.223026315789475,VIP,Germany,0.2219178082191781,342.4691358024691,1233.0
21.0,1,2010-01-26 16:23:00,2010-01-26 16:23:00,0,21.0,Low,Spain,0.0,0.0,0.0
415.79,16,2010-10-31 10:49:00,2010-10-31 10:49:00,0,25.986875,Medium,United Kingdom,0.0,0.0,0.0
2309.01,115,2009-12-20 13:30:00,2010-11-30 14:48:00,345,20.078347826086958,VIP,Germany,0.9452054794520548,121.66666666666667,2310.0
3472.9900000000002,173,2009-12-14 13:10:00,2010-11-16 17:17:00,337,20.075086705202313,VIP,Germany,0.9232876712328767,187.37388724035608,3473.0
3449.79,165,2010-03-18 14:09:00,2010-10-22 09:45:00,217,20.907818181818183,VIP,France,0.5945205479452055,277.53456221198155,3450.0
417.8,22,2010-11-16 11:38:00,2010-11-16 11:38:00,0,18.990909090909092,Medium,France,0.0,0.0,0.0
140.14,10,2010-05-28 12:52:00,2010-05-28 12:52:00,0,14.014,Medium,Germany,0.0,0.0,0.0
11086.14,303,2010-02-09 12:01:00,2010-12-09 10:16:00,302,36.5879207920792,VIP,Germany,0.8273972602739726,366.2086092715232,11087.0
3442.7400000000002,155,2010-01-12 11:45:00,2010-10-19 09:35:00,279,22.211225806451615,VIP,Germany,0.7643835616438356,202.7777777777778,3443.0
2481.06,97,2010-04-22 11:33:00,2010-07-18 15:56:00,87,25.577938144329895,VIP,Germany,0.23835616438356164,406.95402298850576,2482.0
1558.22,45,2010-10-12 16:40:00,2010-11-19 09:18:00,37,34.62711111111111,VIP,Sweden,0.10136986301369863,443.9189189189189,1559.0
2841.07,152,2010-01-15 14:50:00,2010-09-09 14:50:00,237,18.69125,VIP,Finland,0.6493150684931507,234.0928270042194,2842.0
804.88,35,2010-05-24 09:07:00,2010-07-07 09:39:00,44,22.99657142857143,High,Germany,0.12054794520547946,290.34090909090907,805.0
3514.18,205,2010-07-02 11:44:00,2010-11-22 13:09:00,143,17.142341463414635,VIP,Germany,0.3917808219178082,523.2517482517483,3515.0
490.0,20,2010-06-09 15:41:00,2010-06-22 10:05:00,12,24.5,Medium,USA,0.03287671232876712,608.3333333333334,490.0
1241.23,78,2010-09-09 10:50:00,2010-11-12 15:46:00,64,15.913205128205128,VIP,Germany,0.17534246575342466,444.84375,1242.0
141.0,1,2009-12-01 09:55:00,2009-12-01 09:55:00,0,141.0,Medium,USA,0.0,0.0,0.0
2280.91,232,2010-06-14 13:36:00,2010-11-26 13:50:00,165,9.831508620689654,VIP,France,0.4520547945205479,513.2121212121212,2281.0
249.8,9,2010-03-10 10:30:00,2010-03-10 10:30:00,0,27.755555555555556,Medium,Sweden,0.0,0.0,0.0
826.27,42,2010-03-22 09:05:00,2010-10-01 12:17:00,193,19.673095238095236,High,Sweden,0.5287671232876713,79.4300518134715,827.0
4960.18,27,2010-04-07 14:16:00,2010-11-19 12:42:00,225,183.71037037037038,VIP,France,0.6164383561643836,43.8,4961.0
1440.58,80,2010-01-14 13:02:00,2010-10-05 10:23:00,263,18.00725,VIP,Germany,0.7205479452054795,111.02661596958174,1441.0
1764.12,87,2010-02-09 10:49:00,2010-10-26 18:44:00,259,20.277241379310343,VIP,Germany,0.7095890410958904,122.60617760617761,1765.0
14201.53,429,2010-01-13 15:06:00,2010-12-07 12:28:00,327,33.10379953379954,VIP,Germany,0.8958904109589041,478.85321100917434,14202.0
793.95,44,2010-01-07 18:38:00,2010-09-28 10:35:00,263,18.044318181818184,High,Germany,0.7205479452054795,61.064638783269956,794.0
1671.1399999999999,87,2010-01-12 17:24:00,2010-11-22 12:57:00,313,19.208505747126434,VIP,Germany,0.8575342465753425,101.45367412140575,1672.0
263.75,21,2010-08-31 15:21:00,2010-11-26 11:58:00,86,12.55952380952381,Medium,France,0.2356164383561644,89.12790697674419,264.0
97.05000000000001,3,2010-10-01 15:16:00,2010-10-01 15:16:00,0,32.35,Low,Germany,0.0,0.0,0.0
1950.98,43,2010-07-01 09:56:00,2010-07-01 09:56:00,0,45.37162790697675,VIP,Israel,0.0,0.0,0.0
261.35,16,2010-10-12 09:17:00,2010-10-12 09:17:00,0,16.334375,Medium,France,0.0,0.0,0.0
2356.66,121,2010-05-26 09:00:00,2010-10-10 10:43:00,137,19.476528925619835,VIP,France,0.37534246575342467,322.37226277372264,2357.0
162.0,11,2010-09-29 16:46:00,2010-09-29 16:46:00,0,14.727272727272727,Medium,Sweden,0.0,0.0,0.0
3138.2400000000002,176,2010-04-01 09:50:00,2010-12-01 13:04:00,244,17.830909090909092,VIP,Germany,0.6684931506849315,263.27868852459017,3139.0
239.4,10,2010-02-09 14:28:00,2010-03-25 09:40:00,43,23.94,Medium,Germany,0.1178082191780822,84.88372093023256,240.0
1188.16,8,2009-12-13 10:28:00,2010-07-13 13:28:00,212,148.52,VIP,Finland,0.5808219178082191,13.773584905660378,1189.0
250.6,14,2010-02-08 15:11:00,2010-10-18 11:34:00,251,17.9,Medium,Germany,0.6876712328767123,20.358565737051794,251.0
1248.42,31,2010-11-10 16:40:00,2010-11-10 16:40:00,0,40.27161290322581,VIP,Israel,0.0,0.0,0.0
7575.88,375,2010-01-31 15:45:00,2010-11-26 11:48:00,298,20.202346666666667,VIP,Germany,0.8164383561643835,459.3120805369128,7576.0
764.24,23,2010-02-11 10:13:00,2010-11-19 10:05:00,280,33.22782608695652,High,France,0.7671232876712328,29.982142857142858,765.0
2622.481,45,2010-04-12 16:30:00,2010-04-12 16:30:00,0,58.27735555555556,VIP,Germany,0.0,0.0,0.0
211.15,12,2010-04-23 09:57:00,2010-04-23 09:57:00,0,17.595833333333335,Medium,France,0.0,0.0,0.0
